Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,hours,minutes,duration
Kahini,Bengali,4.4,1995.0,All,1,39,1-2 hrs
Fakira,Hindi,6.6,1976.0,All,2,19,2-3 hrs
Shuttlecock Boys,Hindi,6.2,2011.0,NR,1,15,1-2 hrs
Love You Zindagi,Marathi,5.8,2019.0,13+,2,9,2-3 hrs
Badmaash Company,Hindi,6.0,2010.0,13+,2,21,2-3 hrs
Sharkbait,English,4.2,2007.0,All,1,14,1-2 hrs
Mehndi,Hindi,3.4,1998.0,13+,2,32,2-3 hrs
Anupama,Bengali,7.4,2019.0,13+,2,2,2-3 hrs
Speedunnodu,Telugu,4.5,2016.0,13+,2,27,2-3 hrs
Preethiya Raayabhari,Kannada,,2018.0,NR,2,16,2-3 hrs
Savitri,Hindi,5.7,2019.0,All,1,45,1-2 hrs
Humble Politiciann Nograj,Kannada,7.0,2018.0,7+,2,24,2-3 hrs
Churiwala,Bengali,6.6,2017.0,13+,2,37,2-3 hrs
Sedin Dekha Hoyechilo,Bengali,,2017.0,13+,2,33,2-3 hrs
Clerk,Bengali,2.4,2017.0,13+,1,20,1-2 hrs
Farz,Hindi,6.3,,NR,2,44,2-3 hrs
Dum,Hindi,5.6,2003.0,All,2,14,2-3 hrs
Bhagat Dhanna Jatt,Punjabi,8.1,1973.0,All,2,15,2-3 hrs
Traveler,English,8.2,2019.0,13+,1,21,1-2 hrs
Amanush,Bengali,7.0,2017.0,13+,2,38,2-3 hrs
Saak,Punjabi,6.6,2019.0,All,2,0,2-3 hrs
Dasami,Telugu,6.3,2012.0,13+,1,53,1-2 hrs
Luck By Chance,Hindi,7.1,2009.0,All,2,35,2-3 hrs
Joker,English,8.4,2019.0,18+,2,1,2-3 hrs
Dan Protidan,Bengali,,1993.0,NR,2,33,2-3 hrs
Uphaar,Hindi,7.1,1971.0,13+,2,2,2-3 hrs
Imtihaan,Hindi,5.3,1994.0,All,2,31,2-3 hrs
Troop Zero,Hindi,6.9,2020.0,7+,1,37,1-2 hrs
Rajamanikyam,Malayalam,7.7,2005.0,NR,2,5,2-3 hrs
Firaaq,Hindi,7.4,2008.0,13+,1,38,1-2 hrs
Shortcut: Disto Pan Nasto,Marathi,6.3,2015.0,13+,1,56,1-2 hrs
The Aeronauts,English,6.6,2019.0,13+,1,40,1-2 hrs
Ayalathe Adheham,Malayalam,6.8,1992.0,NR,2,21,2-3 hrs
Finally Bhalobasha,Bengali,6.7,2019.0,13+,1,55,1-2 hrs
Bhanu Pelo Lottery,Bengali,7.1,2017.0,13+,1,43,1-2 hrs
Indrajit,Bengali,7.5,1992.0,NR,2,23,2-3 hrs
Lights Out,Hindi,6.3,2016.0,18+,1,20,1-2 hrs
Parichayam,Telugu,7.9,2018.0,NR,2,4,2-3 hrs
Krishnarao Supermarket,Telugu,5.7,2019.0,13+,2,26,2-3 hrs
The Princess Bride,English,8.0,1987.0,7+,1,38,1-2 hrs
Red Dragon,Hindi,7.2,2002.0,18+,2,4,2-3 hrs
Jaan-E-Mann: Lets Fall in Love Again,Hindi,6.0,2006.0,All,2,45,2-3 hrs
Michael Jackson - Devotion: An unauthorized tribute to Michael Jackson,English,,2020.0,13+,0,49,30-60 mins
North Star,English,,1996.0,18+,1,24,1-2 hrs
Karm,Hindi,6.7,1977.0,All,2,22,2-3 hrs
Papa Kahte Hain,Hindi,4.8,1996.0,All,2,25,2-3 hrs
Jind Jaan,Punjabi,2.9,2019.0,13+,2,3,2-3 hrs
Namma Mane,Kannada,5.8,1970.0,NR,2,13,2-3 hrs
Bal Ganesh 3 (Gujarati),Gujarati,5.2,2015.0,All,1,8,1-2 hrs
Janala,Bengali,6.8,2009.0,13+,1,45,1-2 hrs
JUST U & ME,Punjabi,8.1,2013.0,All,2,9,2-3 hrs
Prem Mayee,Hindi,,2012.0,NR,2,10,2-3 hrs
Our Blood Is Wine,English,,2019.0,13+,0,53,30-60 mins
