type,title,director,cast,country,release_year,rating,duration,listed_in,comp_time,imdb
Movie,The Days of Noah: The Valley of Decision - Part 3 of 4,Michael McCaffrey,"Jeff Reich, etc",N/A,2019,13+,107 min,Documentary,107,5.0
Movie,The Days of Noah: Judgment Hour - Part 2 of 4,Michael McCaffrey,"Jeff Reich, etc",N/A,2019,ALL,90 min,Documentary,90,5.2
Movie,The Dawn Express,Albert Herman,"Anne Neagle, etc",N/A,1942,18+,64 min,Action,64,7.4
TV Show,The DaVincibles,N/A,"Jamie Croft, etc",N/A,2014,7+,1 Season,Animation,200,5.6
Movie,The Dark Red,Dan Bush,"April Billingsley, etc",N/A,2020,18+,98 min,Action,98,7.5
TV Show,The Dangerous Book for Boys,N/A,"Kyan Zielinski, etc",United States,2018,7+,1 Season,Young Adult Audience,200,6.4
TV Show,The Dancing Detective Dekadance,N/A,N/A,N/A,2016,13+,1 Season,TV Shows,200,9.4
Movie,The Curse of Robert,Andrew Jones,"Nigel Barber, etc",N/A,2016,16+,80 min,Horror,80,5.6
Movie,The Curse Of Hobbes House,Juliane Block,"Mhairi Calvey, etc",N/A,2020,NR,83 min,Horror,83,6.9
Movie,The Curse of Buckout Road,Matthew Currie Holmes,"Evan Ross, etc",N/A,2019,18+,96 min,Horror,96,8.0
Movie,The Creepy Line,M.A. Taylor,"Jordan B. Peterson, etc",N/A,2018,7+,81 min,Documentary,81,5.0
Movie,The Creeping Flesh,Freddie Francis,"Christopher Lee, etc",N/A,1973,16+,92 min,Horror,92,4.6
Movie,The Cowboy And The Senorita,Joseph Kane,"Roy Rogers, etc",N/A,1944,13+,54 min,Western,54,6.2
Movie,The Cowboy and The Lady,"H.C. Potter, Stuart Heisler, William Wyler","Gary Cooper, etc",N/A,1936,7+,92 min,Comedy,92,7.4
Movie,The Coverup,Brian Jun,"Gabriel Mann, etc",N/A,2009,16+,95 min,Drama,95,5.0
Movie,The Court Jester,"Melvin Frank, Norman Panama","Danny Kaye, etc",United States,1956,ALL,101 min,Action,101,8.5
Movie,The Courageous Dr. Christian,Bernard Vorhaus,"Jean Hersholt, etc",N/A,1940,ALL,66 min,Drama,66,6.7
Movie,The Count of Monte Cristo,David Greene,"Richard Chamberlain, etc",N/A,1975,13+,103 min,Drama,103,6.9
Movie,The Cotton Pickin Truth Still On The Plantation,Timothy A. Smith,"Dick Gregory, etc",N/A,2020,18+,94 min,Documentary,94,6.6
Movie,The Corrupted,Ron Scalpello,"Sam Claflin, etc",N/A,2020,16+,104 min,Action,104,4.8
Movie,The Confessor,Lewin Webb,"Christian Slater, etc",N/A,2005,13+,91 min,Drama,91,6.3
Movie,The Competition,Joel Oliansky,"Richard Dreyfuss, etc",N/A,1980,16+,126 min,Arts,126,6.0
Movie,The Collector,Marcus Dunstan,"Josh Stewart, etc",N/A,2009,16+,90 min,Action,90,7.0
Movie,The Cleansing,Antony Smith,"Rebecca Acock, etc",N/A,2019,18+,98 min,Horror,98,5.0
Movie,The Christmas Lodge,Terry Ingram,"Michael Shanks, etc",N/A,2014,ALL,89 min,Drama,89,7.1
Movie,The Christmas Elves,Diane Paloma Eskenazi,N/A,N/A,2016,ALL,52 min,Animation,52,5.0
Movie,The Christmas Candle,John Stephenson,"Hans Matheson, etc",N/A,2013,16+,100 min,Drama,100,5.2
Movie,The Changeling,Simon Curtis,"Hugh Grant, etc",N/A,1993,NR,90 min,Drama,90,6.7
TV Show,The Challenge: ETA,N/A,N/A,N/A,2020,16+,1 Season,Documentary,200,6.6
TV Show,The Carol Burnett Show,N/A,"Carol Burnett, etc",N/A,1972,13+,1 Season,Comedy,200,7.2
Movie,The Capture,John Sturges,"Lew Ayres, etc",N/A,1950,18+,102 min,Western,102,7.2
Movie,The Bumble Nums - Season 4,"Brett Jubinville, Laurel Dalgleish","Andy Hayward, etc",N/A,2020,ALL,43 min,Action,43,4.2
Movie,The Bridgewater Triangle,"Aaron Cadieux, Manny Famolare","Loren Coleman, etc",United States,2013,13+,91 min,Special Interest,91,6.5
Movie,The Bridges at Toko-Ri,Mark Robson,"Grace Kelly, etc",N/A,1955,13+,103 min,Action,103,4.2
Movie,The Bray Road Beast,Seth Breedlove,"Linda Godfrey, etc",N/A,2020,13+,67 min,Documentary,67,4.2
Movie,THE BRANCH,Mario Ribero Ferreira,"Adriana Ricardo, etc",N/A,2019,ALL,89 min,Comedy,89,4.7
Movie,The Boys of St. Vincent,John N. Smith,"Henry Czerny, etc",N/A,1992,16+,93 min,Drama,93,5.0
TV Show,The Boys,N/A,"Karl Urban, etc",United States,2020,18+,2 Seasons,Action,400,6.0
TV Show,The Bold and the Beautiful,N/A,"John McCook, etc",N/A,2015,13+,1 Season,Drama,200,7.4
TV Show,The Boat Show,N/A,N/A,N/A,2018,13+,1 Season,TV Shows,200,5.6
TV Show,The Block,N/A,"Scott Cam, etc",N/A,2018,13+,7 Seasons,Special Interest,1400,5.3
Movie,The Black Velvet Gown,Norman Stone,"Bob Peck, etc",N/A,1993,NR,103 min,Drama,103,6.9
Movie,The Black Kungfu Experience,Martha Burr,"Ron Van Clief, etc",N/A,2013,NR,56 min,Documentary,56,5.1
Movie,The Black Candle,Roy Battersby,"Samantha Bond, etc",N/A,1991,16+,103 min,Drama,103,7.5
Movie,The Bishop's Wife,Henry Koster,"Cary Grant, etc",N/A,1948,13+,110 min,Comedy,110,5.0
Movie,The Bigamist,Ida Lupino,N/A,N/A,1953,13+,79 min,Drama,79,5.0
Movie,The Big Sleep,N/A,N/A,N/A,2007,13+,29 min,Music Videos and Concerts,29,5.3
Movie,The Big Cat,Phil Karlson,"Lon McCallister, etc",N/A,1949,18+,77 min,Action,77,4.3
Movie,"The Big Black Comedy Show, Vol. 5",N/A,"John Witherspoon, etc",N/A,2006,NR,88 min,Arts,88,5.6
TV Show,The Beverly Hillbillies,N/A,"Buddy Ebsen, etc",N/A,1963,13+,1 Season,Comedy,200,6.0
TV Show,The Best of The Three Stooges in Color!,N/A,"Moe Howard, etc",N/A,1936,7+,1 Season,Comedy,200,7.7
TV Show,The Best of Mister Rogers' Neighborhood,N/A,N/A,N/A,1975,ALL,1 Season,Kids,200,5.2
TV Show,The Bernie Mac Show,N/A,N/A,N/A,2006,13+,5 Seasons,Comedy,1000,4.0
Movie,The Benefactor,Andrew Renzi,"Richard Gere, etc",N/A,2016,16+,93 min,Drama,93,7.5
Movie,The Beckoning Silence,Louise Osmond,"Joe Simpson, etc",N/A,2007,13+,73 min,Documentary,73,6.2
Movie,The Beautician And The Beast,Ken Kwapis,"Fran Drescher, etc",N/A,1997,16+,107 min,Comedy,107,7.7
Movie,The Beastmaster,Don Coscarelli,"Marc Singer, etc",N/A,1982,13+,118 min,Action,118,5.5
Movie,The Beach Boys: An American Band,Malcolm Leo,"Brian Wilson, etc",N/A,1985,13+,103 min,Documentary,103,5.0
Movie,The Basket,Rich Cowan,"Peter Coyote, etc",N/A,2000,16+,105 min,Drama,105,5.0
Movie,The Band's Visit,Eran Kolirin,"Sasson Gabai, etc",N/A,2008,13+,87 min,Arts,87,6.3
TV Show,The Ave,N/A,"Brett Puryear, etc",N/A,2021,18+,2 Seasons,Suspense,400,7.1
TV Show,The Attackers,N/A,"Ekaterina Vilkova, etc",N/A,2013,13+,1 Season,TV Shows,200,5.0
Movie,The Astral Factor,Sue Lyon,"Robert Foxworth, etc",N/A,1977,NR,96 min,Horror,96,6.7
Movie,The Asian Connection,Daniel Zirilli,"Steven Seagal, etc",United States,2016,16+,92 min,Action,92,5.0
Movie,The Ash Lad: In Search of the Golden Castle,Mikkel Brænne Sandemose,"Vebjørn Enger, etc",N/A,2019,13+,98 min,Action,98,5.0
Movie,The Art of War II: Betrayal,Josef Rusnak,"Wesley Snipes, etc",N/A,2008,16+,103 min,Action,103,4.9
Movie,The Appleseed Cast,Baeble Music,N/A,N/A,2007,13+,49 min,Music Videos and Concerts,49,5.8
Movie,The Annuals,N/A,N/A,N/A,2007,13+,36 min,Music Videos and Concerts,36,6.3
Movie,The Angry Red Planet,Ib Melchior,"Gerald Mohr, etc",N/A,1960,13+,83 min,Science Fiction,83,5.0
Movie,The Amish Shunned,Callie T. Wiser,"Saloma Furlong, etc",N/A,2014,16+,112 min,Documentary,112,5.0
Movie,The Amish and the Reformation,Joseph J Graber,"Joseph J. Graber, etc",N/A,2017,ALL,54 min,Documentary,54,5.4
TV Show,The Americans,N/A,"Keri Russell, etc",N/A,2018,13+,6 Seasons,TV Shows,1200,5.4
TV Show,The American West,N/A,"Robert Redford, etc",N/A,2016,13+,1 Season,Arthouse,200,5.0
TV Show,The American Dream Project,N/A,"James Marshall, etc",N/A,2015,7+,1 Season,Drama,200,8.5
TV Show,The American Civil War: A Union Divided,N/A,N/A,N/A,2019,18+,1 Season,Documentary,200,5.4
TV Show,The Amazing World Of War Machines,N/A,N/A,N/A,2008,7+,1 Season,Documentary,200,5.0
TV Show,The Amazing World Of Aviation Series - 13-Part,N/A,N/A,N/A,2013,ALL,1 Season,Special Interest,200,5.0
TV Show,The Amazing Race,N/A,"Phil Keoghan, etc",N/A,2017,13+,29 Seasons,TV Shows,5800,6.8
Movie,The Amazing Adventure,Alfred Zeisler,"Cary Grant, etc",N/A,1937,13+,62 min,Comedy,62,7.4
TV Show,The Aliens,N/A,"Michael Socha, etc",N/A,2016,18+,1 Season,Drama,200,5.0
Movie,The African Queen,John Huston,"Humphrey Bogart, etc",N/A,1952,13+,105 min,Adventure,105,3.5
Movie,The Affairs of Cappy Ricks,Ralph Staub,"Walter Brennan, etc",N/A,1937,13+,58 min,Comedy,58,7.5
TV Show,The Affair,N/A,N/A,N/A,2019,18+,5 Seasons,TV Shows,1000,4.3
TV Show,The Adventures of Tintin,N/A,N/A,N/A,2019,7+,3 Seasons,Action,600,7.4
Movie,The Admiral Was A Lady,Albert S. Rogell,"Edmond O'Brien, etc",N/A,1950,13+,102 min,Drama,102,6.4
TV Show,The A Word,N/A,"Christopher Eccleston, etc",N/A,2016,NR,2 Seasons,Drama,400,5.0
Movie,"The 5th King- Iran ""The Blade"" Barkley Story","Luis Libran, Carl June","Iran Bakley, etc",N/A,2019,13+,66 min,Documentary,66,6.6
Movie,The 36th Chamber of Shaolin,Liu Chia-liang,"Gordon Liu Chia-hui, etc",N/A,1978,16+,112 min,Action,112,7.2
Movie,That Uncertain Feeling,Ernst Lubitsc,"Merle Oberon, etc",N/A,1941,16+,94 min,Comedy,94,6.4
Movie,That Sugar Film,Damon Gameau,"Damon Gameau, etc",N/A,2015,7+,102 min,Documentary,102,5.3
Movie,Thappad (4K UHD),Anubhav Sushila Sinha,"Gracy Bitin Goswami, etc",N/A,2020,13+,142 min,Drama,142,5.5
Movie,Thappad,Anubhav Sushila Sinha,"Gracy Bitin Goswami, etc",N/A,2020,13+,142 min,Drama,142,5.0
Movie,Thao and the Get Down Stay Down,Baeble Music,N/A,N/A,2011,13+,56 min,Music Videos and Concerts,56,5.9
TV Show,Texas Rising,N/A,"Bill Paxton, etc",N/A,2015,13+,1 Season,Drama,200,7.3
Movie,Texas Legionaires,Joseph Kane,"Trigger, etc",N/A,1943,13+,55 min,Western,55,5.0
Movie,Testing title - Parichey is using this title,Tester,"Test1, etc",N/A,2020,ALL,0 min,Action,0,8.3
Movie,Terrordactyl,"Don Bitters, Geoff Reisner","Jason Tobias, etc",N/A,2016,18+,98 min,Science Fiction,98,5.0
Movie,Terror By Night,Roy William Neill,"Basil Rathbone, etc",N/A,1946,16+,56 min,Drama,56,7.7
Movie,Tennessee Queer,Earl Goshorn,"Christian Walker, etc",N/A,2014,16+,90 min,Comedy,90,7.2
Movie,Tenkai Knights - Rise of the Knights,Mitsuru Hongo,"Brian Beacock, etc",N/A,2014,ALL,72 min,Anime,72,7.0
TV Show,Tenkai Knights,N/A,"Johnny Yong Bosch, etc",N/A,2014,7+,1 Season,Animation,200,5.0
Movie,Templar Nation,Brian Vance,"Erik Estrada, etc",N/A,2013,13+,84 min,Adventure,84,5.3
TV Show,Telmo and Tula: Volume 3,N/A,N/A,N/A,2016,ALL,1 Season,Kids,200,7.0
TV Show,Tell Me Your Secrets,N/A,"Lily Rabe, etc",N/A,2021,16+,1 Season,Drama,200,5.6
Movie,Tel Aviv On Fire,Sameh Zoabi,"Lubna Azabal, etc",N/A,2019,13+,96 min,Comedy,96,7.0
Movie,Teenkahon,Bauddhayan Mukherji,"Suman Mukhopadhyay, etc",N/A,2014,18+,124 min,Comedy,124,8.0
Movie,Teenage Bank Heist,Doug Campbell,"Maeve Quinlan, etc",N/A,2012,NR,86 min,Action,86,5.4
TV Show,Teen Wolf,N/A,"Tyler Posey, etc",N/A,2017,13+,9 Seasons,TV Shows,1800,5.0
Movie,Teen Lust,Blaine Thurier,"Jesse Carere, etc",N/A,2015,16+,80 min,Comedy,80,6.5
TV Show,Ted Bundy: Falling for a Killer,N/A,N/A,N/A,2020,16+,1 Season,Documentary,200,6.2
TV Show,Technological Marvels of the Ancient World,N/A,N/A,N/A,2005,7+,1 Season,Adventure,200,5.0
Movie,Tear the Roof Off: The Untold Story of Parliament Funkadelic,Bobby J. Brown,"Billy Nelson, etc",N/A,2019,NR,59 min,Documentary,59,5.0
TV Show,Team Umizoomi,N/A,N/A,N/A,2012,ALL,3 Seasons,Kids,600,5.4
Movie,"Team Hot Wheels, Skills to Thrill",Matt Danner,N/A,N/A,2019,ALL,45 min,Animation,45,7.2
Movie,"Team Hot Wheels, Build the Epic Race",Matt Danner,N/A,N/A,2019,ALL,45 min,Animation,45,5.0
TV Show,Tayo the Little Bus,N/A,N/A,N/A,2019,ALL,5 Seasons,Documentary,1000,7.4
Movie,Tattoo Nation,Eric Schwartz,"Don Ed Hardy, etc",N/A,2016,13+,86 min,Documentary,86,5.0
TV Show,Tattletales,N/A,"Bert Convy, etc",N/A,1974,13+,1 Season,Unscripted,200,4.3
Movie,Tarzan The Fearless,Robert Hill,"Buster Crabbe, etc",N/A,1933,13+,86 min,Action,86,4.9
Movie,Tarzan And The Trappers,H. Bruce Humberstone,"Gordon Scott, etc",N/A,1958,18+,70 min,Action,70,7.2
Movie,Target for Tonight,Harry Watt,N/A,N/A,1941,13+,49 min,Military and War,49,5.0
TV Show,Tandav,N/A,"Saif Ali Khan, etc",India,2021,16+,1 Season,Drama,200,7.0
Movie,TAN,Adrian Younge,"Monte Bell, etc",N/A,2021,18+,22 min,Arthouse,22,5.3
Movie,Tamizh Padam 2,C S Amudhan,"Shiva, etc",N/A,2018,ALL,138 min,Comedy,138,6.8
Movie,Tamara,Jeremy Haft,"Jenna Dewan-Tatum, etc",N/A,2006,16+,98 min,Horror,98,7.4
Movie,Tall Firs,N/A,N/A,N/A,2007,13+,34 min,Music Videos and Concerts,34,6.2
TV Show,Tales from the Loop,N/A,"Rebecca Hall, etc",United States,2020,18+,1 Season,Science Fiction,200,6.0
Movie,Taking 5,Andrew Waller,"Alona Tal, etc",N/A,2008,13+,90 min,Comedy,90,5.8
TV Show,Take Us Home: Leeds United,N/A,"Russell Crowe, etc",United Kingdom,2020,16+,2 Seasons,TV Shows,400,6.9
Movie,Takatak,Milind Zumber Kavde,"Prathamesh Parab, etc",N/A,2019,18+,143 min,Comedy,143,6.4
Movie,"Tad, The Lost Explorer And The Secret Of King Midas","Enrique Gato, David Alonso","Oscar Barberan, etc",N/A,2017,16+,85 min,Animation,85,4.7
Movie,T-Rex Ranch Dinosaur Adventures,Aaron Michael,"Aaron Michael, etc",N/A,2021,ALL,35 min,Kids,35,7.2
Movie,Symphony to Rushing Water,N/A,"Steve's Bedroom Band, etc",N/A,2017,ALL,60 min,Music Videos and Concerts,60,6.4
Movie,Symphony to Iceland's Gulfoss Waterfall,Mark Knight,"Steves Bedroom Band, etc",N/A,2017,ALL,47 min,Music Videos and Concerts,47,5.7
Movie,Symphony to Flowers,Mark Knight,"Kimiko Ishizaka, etc",N/A,2017,ALL,82 min,Music Videos and Concerts,82,4.1
Movie,Symphony in Colorado,Mark Knight DIrector,N/A,N/A,2017,ALL,81 min,Music Videos and Concerts,81,5.0
Movie,Sye Raa Narasimha Reddy (Telugu),Surender Reddy,"Chiranjeevi, etc",N/A,2019,13+,170 min,Action,170,5.9
Movie,Sye Raa Narasimha Reddy (Tamil),Surrender Reddy,"Chiranjeevi, etc",N/A,2019,13+,170 min,Action,170,6.1
Movie,Sye Raa Narasimha Reddy (Malayalam),Surrender Reddy,"Chiranjeevi, etc",N/A,2019,13+,170 min,Action,170,5.5
Movie,Sye Raa Narasimha Reddy (Hindi),Surrender Reddy,"Chiranjeevi, etc",N/A,2019,13+,170 min,Action,170,7.1
TV Show,Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,N/A,N/A,N/A,2017,13+,1 Season,Action,200,5.0
Movie,Swing Hostess,Sam Newfield,"Martha Tilton, etc",N/A,1944,13+,74 min,Arts,74,6.5
Movie,Swing and Dance with Little Baby Bum,Cannis Holder,N/A,N/A,2019,ALL,34 min,Kids,34,7.7
TV Show,SWIINE,N/A,N/A,N/A,2016,13+,1 Season,Comedy,200,7.8
TV Show,Swedish Dicks,N/A,"Peter Stormare, etc",N/A,2018,18+,2 Seasons,Comedy,400,5.0
TV Show,Swamp People,N/A,N/A,N/A,2018,13+,5 Seasons,TV Shows,1000,4.7
Movie,Survivors Guide to Prison,Matthew Cooke,"Bruce Lisker, etc",N/A,2018,NR,103 min,Documentary,103,5.0
TV Show,Survivor,N/A,"Jeff Probst, etc",N/A,2014,13+,19 Seasons,Unscripted,3800,5.0
TV Show,Surgeons: At the Edge of Life,N/A,"Shaun Dooley, etc",N/A,2018,16+,1 Season,Documentary,200,6.6
TV Show,Supersize Vs Superskinny,N/A,"Christian Jessen, etc",N/A,2014,16+,5 Seasons,Special Interest,1000,7.6
TV Show,Superships,N/A,N/A,N/A,2007,7+,1 Season,Action,200,7.5
TV Show,Supermarket Sweep,N/A,"David Ruprecht, etc",N/A,2000,ALL,2 Seasons,Unscripted,400,7.5
TV Show,Superheroes: A Never-Ending Battle,N/A,"Liev Schreiber, etc",N/A,2013,13+,1 Season,Special Interest,200,6.9
Movie,"Superfish: Billfish, with David Attenborough",Rick Rosenthal,"David Attenborough, etc",N/A,2008,ALL,52 min,Documentary,52,7.0
TV Show,Superbook,N/A,"Shannon Chan-Kent, etc",N/A,2015,7+,3 Seasons,Animation,600,6.3
Movie,Super Size Me 2: Holy Chicken!,Morgan Spurlock,"Morgan Spurlock, etc",United States,2019,13+,103 min,Comedy,103,2.8
Movie,Super Size Me,Morgan Spurlock,"Morgan Spurlock, etc",United States,2004,13+,99 min,Special Interest,99,6.0
Movie,Super JoJo - Yes Yes Vegetables Song,Super JoJo,"Super JoJo, etc",N/A,2019,ALL,3 min,Kids,3,6.4
Movie,Supa Strikas - Keep Calm and Soccer On,Bruce Legg,N/A,N/A,2019,ALL,60 min,Animation,60,5.3
Movie,"Supa Strikas - Eat, Sleep, Play Soccer",Bruce Legg,N/A,N/A,2019,7+,60 min,Animation,60,7.7
Movie,Supa Strikas - Best in the Field,Bruce Legg,N/A,N/A,2019,7+,60 min,Animation,60,6.4
Movie,Supa Strikas - Alive and Kickin',Bruce Legg,N/A,N/A,2019,7+,60 min,Animation,60,5.3
Movie,Supa Strikas - A Goal in One!,Bruce Legg,N/A,N/A,2019,7+,59 min,Animation,59,5.0
Movie,Sunshine State,John Sayles,"Angela Bassett, etc",N/A,2002,13+,141 min,Arthouse,141,5.4
TV Show,Sunshine Sento-Sake (Subbed) (4k UHD),N/A,N/A,N/A,2016,NR,1 Season,TV Shows,200,4.9
TV Show,Sunshine Sento-Sake (Subbed),N/A,N/A,N/A,2016,NR,1 Season,TV Shows,200,5.0
Movie,Sunshine Hotel,Michael Dominic,"Michael Dominic, etc",United States,2002,13+,99 min,Documentary,99,5.4
Movie,Sunset On The Desert,REEL,"Roy Rogers, etc",N/A,1942,16+,55 min,Western,55,7.3
Movie,Sunrise on the Bosphorus,Mark Knight,N/A,N/A,2019,ALL,30 min,Documentary,30,5.1
Movie,Sunnyside,Timothy Galfas,"John Lansing, etc",N/A,1979,16+,101 min,Action,101,5.4
TV Show,Sunny Bunnies,N/A,N/A,N/A,2018,ALL,2 Seasons,Animation,400,5.2
Movie,Sundown Saunders,Robert N. Bradbury,"Bob Steele, etc",N/A,1935,16+,70 min,Western,70,6.2
Movie,Sundown,Henry Hathaway,"Bruce Cabot, etc",N/A,1941,7+,90 min,Drama,90,5.1
TV Show,Summer 2019 American Road Trip,N/A,"Robert Morales, etc",N/A,2020,7+,1 Season,Special Interest,200,7.2
TV Show,Suits,N/A,"Gabriel Macht, etc",N/A,2019,13+,9 Seasons,Drama,1800,6.4
Movie,Suicide,"Raoul W. Heimrich, Yvonne Wunschel","Markus H. Eberhard, etc",N/A,2001,18+,84 min,Action,84,7.7
Movie,Sui Dhaaga - Made In India,Sharat Katariya,"Anushka Sharma, etc",N/A,2018,7+,122 min,Drama,122,8.0
Movie,Sufiyum Sujatayum,Naranippuzha Shanavas,"Jayasurya, etc",N/A,2020,13+,123 min,Drama,123,4.6
TV Show,Subaru Launch Control,N/A,"Travis Pastrana, etc",N/A,2021,13+,3 Seasons,Documentary,600,7.0
Movie,Student of the Year 2,Punit Malhotra,"Tiger Shroff, etc",India,2019,13+,146 min,Drama,146,5.4
Movie,Striking Range,Daniel Millican,"Lou Diamond Phillips, etc",N/A,2006,16+,96 min,Action,96,5.0
TV Show,Streets of Compton,N/A,"Alonzo Williams, etc",N/A,2016,13+,1 Season,Documentary,200,6.5
Movie,Street Dance,"Dania Pasquini, Max Giwa","Nichola Burley, etc",N/A,2013,13+,99 min,Arts,99,7.5
Movie,Strategic Air Command,Anthony Mann,"James Stewart, etc",N/A,1955,7+,114 min,Action,114,5.0
Movie,Strange Wilderness,Fred Wolf,"Steve Zahn, etc",N/A,2008,16+,85 min,Action,85,6.8
TV Show,Strange Love,N/A,"Flavor Flav, etc",N/A,2005,16+,1 Season,TV Shows,200,5.7
TV Show,Strange Empire Series,N/A,"Cara Gee, etc",N/A,2015,13+,1 Season,Drama,200,5.0
Movie,Straight Shooter,Sam Newfield,"Tim McCoy, etc",N/A,1940,13+,48 min,Western,48,3.4
Movie,Storytime with Mila and Morphle,Arthur van Merwijk,"Sabrina Glow, etc",N/A,2019,ALL,38 min,Animation,38,7.6
Movie,Storm Boy,Shawn Seet,"Jai Courtney, etc",N/A,2019,16+,99 min,Drama,99,7.2
TV Show,Storage Wars: Texas,N/A,"Walt Cade, etc",N/A,2012,13+,1 Season,TV Shows,200,5.0
TV Show,Storage Wars: Northern Treasures,N/A,"Don Reinhart, etc",N/A,2014,13+,1 Season,Unscripted,200,8.8
TV Show,Storage Wars New York,N/A,"Joe Pauletich, etc",N/A,2013,13+,1 Season,TV Shows,200,5.7
TV Show,Storage Wars,N/A,N/A,N/A,2011,13+,1 Season,TV Shows,200,8.4
Movie,Stop Making Sense,Jonathan Demme,"David Byrne, etc",N/A,1984,7+,88 min,Documentary,88,5.4
Movie,Stitches,Conor McMahon,"Ross Noble, etc",N/A,2012,16+,86 min,Comedy,86,5.0
Movie,Still Today,Tommy Walton,"Jody Thompson, etc",N/A,2020,NR,82 min,Comedy,82,5.0
Movie,Still Mine,Michael McGowan,"James Cromwell, etc",N/A,2013,13+,103 min,Arthouse,103,5.0
Movie,Sticky Fingers,Catlin Adams,"Melanie Mayron, etc",N/A,1988,13+,85 min,Comedy,85,5.0
Movie,Stick Man,"Jeroen Jaspaert, Daniel Snaddon","Martin Freeman, etc",United Kingdom,2015,ALL,27 min,Adventure,27,5.5
TV Show,Steven Seagal Lawman,N/A,"Steven Seagal, etc",N/A,2010,13+,2 Seasons,Documentary,400,5.0
Movie,Steve Treviño: My Life In Quarantine,Rick Cikowski,"Steve Treviño, etc",N/A,2020,18+,72 min,Arts,72,5.0
Movie,Steve Hofstetter: Ginger Kid,Steve Hofstetter,"Steve Hofstetter, etc",N/A,2015,7+,65 min,Arts,65,5.0
Movie,Steve Byrne: The Byrne Identity,Manny Rodriguez,"Steve Byrne, etc",N/A,2010,18+,73 min,Arts,73,3.2
TV Show,Stephen Fry: Gadget Man,N/A,"Stephen Fry, etc",N/A,2012,13+,1 Season,Documentary,200,7.9
Movie,Stepfather 2,Jeff Burr,"Terry O'Quinn, etc",N/A,1989,16+,84 min,Horror,84,7.7
Movie,Step On It,Harry S. Webb,"Richard Talmadge, etc",N/A,1935,13+,56 min,Action,56,5.0
Movie,Stella Dallas (1937),King Vidor,"Barbara Stanwyck, etc",N/A,1937,13+,106 min,Drama,106,6.4
Movie,Steep,Mark Obenhaus,"Bill Briggs, etc",N/A,2007,13+,90 min,Documentary,90,5.4
Movie,Stealing Paradise,Tristan Dubois,"Rachael Leigh Cook, etc",N/A,2012,NR,89 min,Drama,89,6.0
TV Show,State of Mind,N/A,"Niamh Cusack, etc",N/A,2003,16+,1 Season,TV Shows,200,6.5
TV Show,StarTalk with Neil deGrasse Tyson,N/A,N/A,N/A,2019,13+,1 Season,TV Shows,200,4.1
TV Show,Star Trek: Voyager,N/A,"Kate Mulgrew, etc",N/A,2001,13+,7 Seasons,Drama,1400,5.0
TV Show,Star Trek: The Next Generation,N/A,"Patrick Stewart, etc",N/A,1994,13+,7 Seasons,Drama,1400,8.2
TV Show,Star Trek: Enterprise,N/A,"Scott Bakula, etc",N/A,2005,13+,4 Seasons,Science Fiction,800,3.3
TV Show,Star Trek: Deep Space Nine,N/A,"Avery Brooks, etc",N/A,1999,13+,7 Seasons,Drama,1400,6.5
TV Show,Star Trek:  The Original Series,N/A,"Walter Koenig, etc",N/A,1969,13+,3 Seasons,Action,600,5.4
TV Show,Star Trek Original (Remastered),N/A,"Leonard Nimoy, etc",N/A,1969,13+,3 Seasons,Science Fiction,600,6.3
Movie,"Stallone: Frank, That Is",Derek Wayne Johnson,"Frank Stallone, etc",N/A,2021,7+,73 min,Documentary,73,5.6
TV Show,Stalker,N/A,"Dr. Lorraine Sheridan, etc",N/A,2008,16+,1 Season,TV Shows,200,5.0
Movie,Stalked By My Doctor,Doug Campbell,"Eric Roberts, etc",N/A,2015,NR,88 min,Drama,88,5.4
Movie,Stained Glass Windows,N/A,N/A,N/A,2010,16+,88 min,Drama,88,5.4
Movie,Stained,Karen Lam,N/A,N/A,2011,16+,91 min,Suspense,91,5.0
Movie,Stagecoach - The Original John Wayne Classic,John Ford,"John Wayne, etc",United States,1939,7+,96 min,Adventure,96,2.4
Movie,Stage Door Canteen,Frank Borzage,"Judith Anderson, etc",N/A,1943,13+,135 min,Arts,135,5.6
Movie,Springtime in the Sierras,William Witney,"Roy Rogers, etc",N/A,1947,16+,53 min,Western,53,3.7
Movie,Spring 1941,Uri Barbash,"Katarzyna Al Abbas, etc",N/A,2007,16+,100 min,Drama,100,6.8
Movie,Spooks Run Wild,Phil Rosen,"Bela Lugosi, etc",N/A,1941,16+,71 min,Comedy,71,6.9
TV Show,SpongeBob SquarePants,N/A,"Tom Kenny, etc",N/A,2009,7+,6 Seasons,Kids,1200,6.6
TV Show,SpongeBob DocuPants,N/A,N/A,N/A,2020,13+,1 Season,Drama,200,5.7
TV Show,Spirited,N/A,"Claudia Karvan, etc",N/A,2010,16+,2 Seasons,TV Shows,400,5.0
Movie,Spirit Rider,Michael J.F. Scott,"Graham Greene, etc",N/A,1993,13+,96 min,Drama,96,5.0
Movie,Spiral,Laura Fairrie,N/A,N/A,2017,13+,78 min,Special Interest,78,4.8
TV Show,Spies of Warsaw,N/A,"David Tennant, etc",N/A,2013,13+,1 Season,Drama,200,7.0
TV Show,Speed Dreams - The Fastest Place on Earth,N/A,N/A,N/A,2013,13+,1 Season,Documentary,200,4.0
Movie,Special Forces,Stéphane Rybojad,"Diane Kruger, etc",N/A,2013,16+,109 min,Action,109,5.0
